id,name,requirements,tasks,summary,pageUrl
JOB3307461575,Genomics Data Analyst and Database Manager,,,"Genomics Data Analyst and Database Manager
Max Planck Institute, Nijmegen
Language & Genetics Depart...",http://www.nature.com/naturejobs/science/jobs/675393-genomics-data-analyst-and-database-manager
JOB17660896611,Data Analyst with Tableau Expertise,"2+ years professional experience as a data analyst or business data analyst,BS in Mathematics, Economics, Computer Science, Information Management or Statistics,Masters Degree in a quantitative science preferred,Expert knowledge in Tableau,Technical expertise regarding data models, database design development, data mining and segmentation techniques,Strong knowledge of and experience with reporting packages (Business Objects etc), databases (SQL etc), programming (XML, Javascript, or ETL frameworks),Knowledge of statistics and experience using statistical packages for analyzing datasets (Excel, SPSS, SAS etc),Strong analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracy,Adept at queries, report writing and presenting findings,Interpret data, analyze results using statistical techniques and provide ongoing reports,Develop and implement databases, data collection systems, data analytics and other strategies that optimize statistical efficiency and quality,Acquire data from primary or secondary data sources and maintain databases/data systems,Identify, analyze, and interpret trends or patterns in complex data sets,Filter and “clean” data by reviewing computer reports, printouts, and performance indicators to locate and correct code problems,Work with management to prioritize business and information needs,Locate and define new process improvement opportunities,Competitive salary and bonus plan,Relocation Assistance,401K program with company-contributed benefits,Generous healthcare benefits,Paid training and education program,Flexible PTO policies,A rapidly growing well-established business,The opportunity to make a tangible impact on Hoverstate as well as our market-leading clients,A fun and friendly environment that is collaborative, loose, fast, yet professional!,Regular, personal interaction with the Hoverstate senior leadership team and senior leadership of our clients.,Opportunity for accelerated recognition and rewards, where you’ll see your contributions and great ideas directly impact our business",,"Job description
NOTE: Currently, we are looking for LOCAL CANDIDATES who are NOT currently on a work...",https://www.linkedin.com/jobs/view/805789826/
JOB36339623293,Data Analyst/Data Entry Analyst.,,,,https://www.linkedin.com/jobs/data-analyst-jobs-dallas-tx
JOB38355557318,Data Analyst / Bioinformatics Specialist,,,"000041
Data Analyst / Bioinformatics Specialist
Data Analyst
134
Other
Ongoing
Full-Time
Genes & Hum...",https://www.nature.com/naturecareers/job/data-analyst-bioinformatics-specialist-oklahoma-medical-research-foundation-omrf-717219
JOB41116083536,Data Analyst II,"Bachelors degree (or country equivalent degree) or equivalent years of experience,Ability to understand data associations,Experience working with data,2+ years working in Compensation-related processes or with compensation-related dat,Experience working with a job banding structure,Experience working with SuccessFactors Compensation Module,Written and verbal fluency in English,Strong business acumen,Ability to work with technical programs, such as excel,Time Management - demonstrated ability to multi-task, prioritize, and follow through on commitments,Comfort dealing with ambiguity","Evaluate data for deviations from expected associations and completeness (e.g. country and currency code, eligibility by band, etc.), and initiate validation and corrections,Test market data for appropriate mapping,Ad hoc data analysis and resolution for manager inquiries related to data","Job Description
Data Analyst
Wayzata, MN
Hours: M-F 8a - 5p
Duration: 2 month Contract
Dress code: b...",https://www.linkedin.com/jobs/view/655258760/
JOB41701926252,Senior Data Analyst - Product and User Insights,"Partner with product team member to use analytical and problem-solving skills to deliver actionable insights through the creation of data and analytics tracking.,Analyze historical data, defining best practices, and identifying opportunities for optimization.,Develop rich, interactive visualizations including owning the evolution of our Product Dashboard.,Fulfill ad-hoc query requests,Collect, measure, analyze, evaluate, interpret, summarize and develop medium to complex qualitative data statistical analysis and present finding to support recommendations.,Consolidate and Summarize Data for Business Decision Making in Useful Formats,Inspect and Cleanse Data,Gather Data from Internal and External Sources,Explore the data and discover patterns, meaningful relationship, anomalies and trends.,Handle multiple projects and meet deliverables","You are a SQL pro,You can perform advanced data transformations in SQL and Excel,You are experienced using a BI or visualization software (ex. Tableau, Looker, Domo, etc.),You have experience with R, Python or other coding language,You can handle a large workload and efficiently prioritize,You are forward thinking, dynamic, and innovative,You are eager to learn,You have a strong research and analytical mindset and extremely detail-oriented,You are a team player with positive and can-do attitude, excellent interpersonal skills, inquisitive, self-starter, energetic and striving in a fast-moving environment.,You have strong communication skills, written and verbal; ability to present data and its implications in a clear, concise manner; balanced technical and business perspectives.","Job description
Do you “love” data? Are you a data rockstar? Does working with data and finding the ...",https://www.linkedin.com/jobs/view/878065793/
JOB49177077070,"Results for ""Data Analyst Jobs in West Fairfax, Virginia, United States""",,,"
",https://www.linkedin.com/jobs/data-analyst-jobs-west-fairfax-va
JOB49838007669,Data Analyst,"You have a Bachelor’s degree in Computer Science, Statistics, Mathematics or a related fields,You have 1-3 years of relevant professional experience,You know how to use the right tool for the job, whether that's a programming language (like R or Python), simulation, statistics or just plain old SQL,You can create compelling presentations for both internal and external customers using (Tableau, D3.js, R Shiny, Looker, Klipfolio or similar tools),You have Grit - never hesitate to roll up your sleeves and tackle something hands-on; you persevere when others fade away.,You care about the customer - constantly look for ways to create a great customer experience for both our consumers and to our community of technicians.,You are Independent - the ability to self-serve, take ownership and have a self-starter attitude.,You are curious - naturally and constantly seeking ways to learn, connect the dots and improve,Experience with Data Science methods and tools,Experience working with e-commerce marketplaces,Experience in startups and / or tech industry,Experience in on-demand and / or customer service businesses","Provide quantitative research, modeling, analysis, and visualization support to identify business opportunities/issues,Synthesize findings, prepare presentations and assist in presenting information,Create market demand, inventory, tech community, price optimization, logistics models,Provide assistance needed to interpret data and implement the recommendations,Identify and track the metrics to measure the success of our operation and overall business,Manage projects or be part of larger initiatives with modeling, analysis, etc","Job description
Want to be part of a successful, well-funded, dynamic and fast-growing startup? Puls...",https://www.linkedin.com/comm/jobs/view/815968284?trk=eml-apply-confirm-applied-job&midToken=AQG99I5jLBQZeg&trkEmail=eml-jobs_applicant_applied-null-16-null-null-1l79iw~jl7bicvz~2d-null-jobs~view&lipi=urn%3Ali%3Apage%3Aemail_jobs_applicant_applied%3BBSXV8WDuRV6Mq8SHKxtaAQ%3D%3D
JOB59435394405,Legislative Data Analyst ( Vacancy # VAR000879),,"Opening Date: May 8, 2019,Closing Date: June 17, 2019,OPM Control Number: 533031700,Vacancy Number: VAR000879,LC Organization Unit: Congressional Research Service,LC Organization Unit - Specific Office: Legislative Information Management Section of the Office of Congressional Information and Publishing (CIP),Grade: GS-12,Series: 1410,Minimum Salary: $83,398.00,Maximum Salary: $108,422.00,Availability: U.S. Citizens Only","
Opening Date: May 8, 2019
Closing Date: June 17, 2019
OPM Control Number: 533031700
Vacancy Number:...",https://www.loc.gov/item/careers/legislative-data-analyst-vacancy-var000879/
JOB64144369002,Data Analyst,"Knowledge of R, S-Plus, SAS, Stata, Gauss or Matlab a plus (or willing to learn)","Analyze and interpret data using statistical and business models,Identify correlations and trends in data, in addition to internal and external factors that could affect the results of our information,Provide input on how to integrate additional data sets from independent sources we can use to leverage our existing data,Collaborate with colleagues on ad hoc projects within the data science teams (Data ops and R&D),Validate data daily using external data and research (quantitative and qualitative),Troubleshoot data issues,3– 7 years of work experience (or comparable educational experience) in quantitative analysis,Proficient in Excel and SQL,Experience in business and statistical modeling,Strong critical thinking and problem solving skills,Creative and independent thinker with a desire to learn new technical skills,Success at working on cross-functional teams to meet a common goal,Self-starter with a high sense of urgency,Ability to prioritize in a multitask environment,Knowledge of PYTHON and VB a plus (or willing to learn)","Job description
Reports to: Director of Data Operations
Location: Boston, MA
Comlinkdata is seeking ...",https://www.linkedin.com/comm/jobs/view/809641604?trk=eml-apply-confirm-applied-job&midToken=AQG99I5jLBQZeg&trkEmail=eml-jobs_applicant_applied-null-16-null-null-1l79iw~jl7bkb6g~mi-null-jobs~view&lipi=urn%3Ali%3Apage%3Aemail_jobs_applicant_applied%3BJjcaWtGeT%2Fq7ThmNScz0aA%3D%3D
JOB68305511793,SSIS Data Analyst,,"Responsible for supporting daily data integrations services job runs,Troubleshooting and fixing technical issues, updating necessary code and additional development when needed, as well as develop and create any new jobs,Assist Transportation team with database administration,Develop and maintain backorder quarter end reporting for the leadership team,Develop, maintain, and support executive dashboard reporting,Integrate data sources and databases and design and develop back-end queries for presenting data,Migrate data from different data sources into a data warehouse,Building, supporting, and maintaining MS Access databases,VB,VBA,VB.NET,MS Visual Studio,SSIS,SQL Server,Qlikview","Job description
RESPONSIBILITIES
Responsible for supporting daily data integrations services job run...",https://www.linkedin.com/jobs/view/841616508/
JOB71752213864,Sales Operations Data Analyst | US Business & Sales Operations Team,,,,https://www.linkedin.com/jobs/sales-operations-analyst-jobs
JOB76380904395,Postdoctoral Fellow - Real World Data Analyst,"Ph.D. in biology- or data-related sciences such as Molecular Biology, Biomedicine, Computational Biology, Bioinformatics, Data Science.,Knowledge and experience in cancer immunology is a must. Additional knowledge and experience in epidemiology is a plus.,Strong quantitative analytical skills in statistics, machine learning and predictive modeling.,Experience in analysis of Real World Data such as EHR and health insurance claims is highly desired.,Experience in analysis of large scale genetic data is also highly desired.,A creative self-motivated individual with excellent communication skills.","Identify and apply appropriate analytical methods to ensure fit-for-purpose approaches.,Apply rigor in study design and analysis plan. * * Prepare data and perform data analysis.,Interpret results, create visualization and generate reports to convey new insights in cancer biology in a way that maximize impact and interpretability.,Present work internally and at conferences.,Publish in peer-reviewed journals.","Job summary:
The digitization and availability of the vast amount of real world patient data has cre...",http://www.nature.com/naturejobs/science/jobs/666843-postdoctoral-fellow-real-world-data-analyst
JOB78087363525,Data Analyst / Bioinformatics Specialist - Translational Informatics,,,"
Data Analyst / Bioinformatics Specialist – Translational Informatics
Posting Number: 000206
Positio...",https://www.nature.com/naturecareers/job/data-analyst-bioinformatics-specialist-translational-informatics-oklahoma-medical-research-foundation-omrf-732263
JOB80800865239,Data Analyst / Bioinformatics Specialist - Translational Informatics,,,"
Data Analyst / Bioinformatics Specialist – Translational Informatics
Posting Number: 000206
Positio...",https://www.nature.com/naturecareers/job/data-analyst-bioinformatics-specialist-translational-informatics-oklahoma-medical-research-foundation-omrf-727850
JOB87881835902,Sector Data Analyst - Portfolio Management,,,My client is a fundamentally driven L/S Equity Fund looking for a Sector Data Analyst - Portfolio Ma...,https://www.linkedin.com/jobs/view/656652661/
JOB90888641478,Data Analyst / Bioinformatics Specialist - Translational Informatics,,,"
Data Analyst / Bioinformatics Specialist – Translational Informatics
Overview
The Oklahoma Medical ...",https://www.nature.com/naturecareers/job/data-analyst-bioinformatics-specialist-translational-informatics-oklahoma-medical-research-foundation-omrf-742454
JOB107040014892,Data Analyst - Data Insights,,,"AllWork from homeSan Francisco, CASan Jose, CAMountain View, CASunnyvale, CASanta Clara, CAMenlo Par...",https://www.google.com/search?q=Data+Analyst+&ibp=htl;jobs
JOB107446829603,Data Analyst,,,"Overview CIBC provides tailored commercial, wealth management, personal, and small business financia...",https://www.google.com/search?q=cibc+data+analyst&rlz=1C1NHXL_enUS690US690&oq=cibc+data+an&aqs=chrome.0.0j69i57j69i60l3j0.3879j0j7&sourceid=chrome&ie=UTF-8&ibp=htl;jobs
JOB108898343872,Senior/Data Analyst (Researcher Services),,,"Senior/Data Analyst (Researcher Services)
Springer Nature, Research Solutions
Senior/Data Analyst (R...",https://www.nature.com/naturecareers/job/seniordata-analyst-researcher-services-springer-nature-744651
JOB109977869275,Biological Data Analyst - Statistician,,"Provide statistical consulting on biological data analysis for EMBL researchers conducting cutting-edge molecular biology research,Advise and help researchers with their experimental design, data analysis and interpretation of results,Provide training (2-5 days courses) in the area of computational statistics and data science in biology,Collaborate and interact with other scientists at EMBL and partner networks (Elixir, de.NBI) in an international, interdisciplinary, and highly collaborative work environment,A PhD or equivalent qualification in a quantitative science (statistics, mathematics, computer science, physics, bioinformatics) with solid theoretical foundations in probability and applied statistics,Programming skills in R,Strong interest in computational statistics,Motivation to teach and provide advice,Good communication skills in written and spoken English and ability to interact with other scientists in interdisciplinary teams,Basic experience in analysis of high-throughput biological data (genomics, transcriptomics, epigenetics, proteomics, etc.),An interest in cutting-edge molecular biology and its data-generating technologies,Experience in analyzing single cell ‘omics, imaging, proteomics, or microfluidics data sets,Experience in teaching,Experience in biostatistical consulting,Experience in R as a package developer or maintainer,Knowledge of Python or other scripting languages,Knowledge of scientific authoring frameworks (LaTeX, Rmarkdown) and R-Shiny,Experience with version control, method benchmarking, or data management technologies","
About the team/job
EMBL is an international research organization covering many fields of modern bi...",http://www.nature.com/naturejobs/science/jobs/702761-biological-data-analyst-statistician
JOB111726044509,Data Analyst,,,"Job Description:
At Gibson Consulting, exceptional talent fuels every aspect of our business. In the...",https://www.linkedin.com/jobs/view/905383234/
JOB117256840515,Data Analyst,"BS in Mathematics, Economics, Computer Science, Information Management or Statistics, or equivalent experience.,Proven working experience as a data analyst or business data analyst.,Technical expertise regarding data models, database design development, data mining and segmentation techniques.,Strong knowledge of reporting packages, databases, and programming.,Knowledge of statistics and experience using statistical packages.,Strong analytical skills.,Adept at queries, report writing and presenting findings.","Interpret data, analyze results using statistical techniques and provide ongoing reports,Focus on internal company data, aggregate client data, development of KPIs, providing reporting and dashboarding, and making data actionable.,Develop and implement databases, data collection systems, data analytics and other strategies that optimize statistical efficiency and quality.,Acquire data from primary or secondary data sources and maintain databases/data systems,Identify, analyze, and interpret trends or patterns in complex data sets.,Clean data by reviewing reports and KPIs to locate and correct problems.",TechTalent Squared has been retained by one of our cutting-edge clients in their search for a Data A...,https://www.linkedin.com/jobs/view/791984650/
JOB121532219945,Data analyst,,,AllData analystAnalystBusiness analystData scientistAnalytics analystProduct analystReporting analys...,https://www.google.com/search?q=data+analyst+jobs+columbus+ohio&ie=utf-8&oe=utf-8&client=firefox-b-1&ibp=htl;jobs&sa=X&ved=2ahUKEwjik9exvPDcAhVHKawKHd2hDkoQiYsCKAF6BAgGEB0
