id,title,name,requirements,tasks,text,pageUrl
JOB21015061843,"Results for ""Data Engineer Jobs in New York, United States""","Results for ""Data Engineer Jobs in New York, United States""",,,,https://www.linkedin.com/jobs/data-engineer-jobs-new-york-ny
JOB21689607496,"Results for ""Data Engineer Jobs in Portland, Oregon Metropolitan Area""","Results for ""Data Engineer Jobs in Portland, Oregon Metropolitan Area""",,,,https://www.linkedin.com/jobs/data-engineer-jobs-portland-oregon-metropolitan-area
JOB32335439175,Staff Data Engineer,Staff Data Engineer,,,"About Us
Venmo was founded on the principles of breaking down the intimidating barriers around financial transactions to make them intuitive, friendly, and even fun. And it worked: people love sending money with Venmo, and we’re growing by leaps and bounds!
But we’re only just getting started. We want to take that magic of sending money with Venmo and cascade it into every place where people use money. That means connecting people to their money in the most intuitive and fun way possible, then connecting people with each other. Users already love Venmo, but we know there are lots of things we haven’t thought of to make the experience of using Venmo even more delightful and valuable. All that’s going to take a lot of figuring out. Let’s figure it out together!
At Venmo, we are creating a product that people love. We strive to create a delightful user experience while connecting the world and empowering people through payments. We are looking for intellectually curious people who want to be inspired and inspire others to change the world. Engineering is a craft, and at Venmo we want the internals of our software to be as elegant as the end user experience we are designing. We spend our days scaling our capacities and building new features to meet and exceed our user’s needs and wants. We teach and learn from one another and push each other to be at our creative and analytical bests.
Applied Science team
Imagine what you could do here. Venmo is the fastest growing peer-to-peer financial brand and keeps innovating in the tech industry. We as Venmo Applied Science team are looking for talented Staff Data Engineer to join us and build creative next generation of data products and high-velocity AI services. We derive valuable insights from our extensive, rich and rapidly growing datasets in order to improve customer daily experience. This role is critical to the engineering team and will be deeply embedded within multi-disciplinary teams across the company.
You will join the team that interacts with Data Scientists, Data Engineers and Machine Learning Engineers to embrace rich data into Machine Learning as a service. You will have the opportunity to take full stack ownership of design and implementation of highly reliable, scalable and high-performance products. You will drive appropriate technologies for the business, lead the way for continuous innovation and shape the future of e-commerce.
What We’re Looking For
Professional 5+ years of industry and academic experiences in a quantitative role with an advanced degree.
Advanced proficiency with SQL and highly skilled in at least one scripting language such as Python.
Expert in ETL, big data platforms and tooling (AWS, Snowflake, Kafka, Luigi, Hadoop, Hive, Spark, Cassandra, Airflow, etc).
Strong fundamentals of data structures, algorithms and design patterns.
Familiarity with statistics and mathematical analysis, prior experience in data visualization tools such as Tableau or Looker is plus.
Build, forecast, and report on metrics that drive strategy and facilitate decision making for key business initiatives.
Passion and intellectual curiosity for the FinTech domain.
Comfortable in working in ambiguous, fast-paced and high-growth dynamic environment.
Excellent written and verbal communication to take ownership of meeting with cross-functional team leads on a regular basis.
We know the confidence gap and imposter syndrome can get in the way of meeting spectacular candidates. Please don't hesitate to apply.
Industries
Computer SoftwareInternetFinancial Services
",https://www.linkedin.com/jobs/view/staff-data-engineer-at-venmo-2351006152?refId=d12bb5b9-dbc2-4d10-811c-235676b93818&trackingId=4Emq2YQ3pzkp9dqDl%2BNPbA%3D%3D&position=5&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click
JOB47455872374,Senior Data Engineer - Customer Operations Data,Senior Data Engineer - Customer Operations Data,"Experience with end-to-end ETL work using Python and SQL,Strong systems design knowledge; you know how to architect data pipelines and how storage and compute fits together,Prior experience making large datasets accessible; familiarity with Hive, Presto and parquet is a plus,Experience with compute frameworks and job orchestration systems,Experience with Google Cloud Platform a plus,4+ years of industry experience,Health insurance with 100% premium covered for you and your dependent children,Flexible vacation & paid time off,Up to 20 weeks of paid family leave,Equity plan for all employees,Retirement benefits with employer match,Fertility and adoption benefits,Free lunch and snacks at all offices,Education reimbursement,Dog-friendly workplace in New York office,Commuter benefit in the form of reduced tax (Ireland) and pretax (US)","Build end-to-end data pipelines, consuming from a variety of sources,Work with data consumers to identify self-service opportunities, and make sure they have access to the data they need to make decisions.,Help guide the team towards data best practices, and mentor teammates.,Contribute to a technical roadmap for the CustOps data program, and set priorities for work across the team,Build and refine processes to make pipeline implementations faster, simpler, and less error-prone for product engineers,Participate in architectural decisions across the organization, particularly with respect to the impact on data collection,Set timeliness and correctness goals for our data pipelines, maintain sufficient monitoring & coverage to ensure that incidents and outages are mitigated appropriately","Squarespace’s Customer Operations Data Engineering team is responsible for writing and maintaining pipelines that enhance customer service’s ability to effectively support Squarespace customers and better understand where users struggle with the product.
In this role, you’ll be part of a small team focused on implementation and working to improve data ingestion across tools that drive critical decisions by CustOps leadership, while working towards enabling more self-service data usage across the department.
Responsibilities
Build end-to-end data pipelines, consuming from a variety of sources
Work with data consumers to identify self-service opportunities, and make sure they have access to the data they need to make decisions.
Help guide the team towards data best practices, and mentor teammates.
Contribute to a technical roadmap for the CustOps data program, and set priorities for work across the team
Build and refine processes to make pipeline implementations faster, simpler, and less error-prone for product engineers
Participate in architectural decisions across the organization, particularly with respect to the impact on data collection
Set timeliness and correctness goals for our data pipelines, maintain sufficient monitoring & coverage to ensure that incidents and outages are mitigated appropriately
Qualifications
Experience with end-to-end ETL work using Python and SQL
Strong systems design knowledge; you know how to architect data pipelines and how storage and compute fits together
Prior experience making large datasets accessible; familiarity with Hive, Presto and parquet is a plus
Experience with compute frameworks and job orchestration systems
Experience with Google Cloud Platform a plus
4+ years of industry experience
About Squarespace
Squarespace empowers people with creative ideas to succeed. By blending elegant design and sophisticated engineering, we empower millions of people — from individuals and local artists to entrepreneurs shaping the world’s most iconic businesses — to share their stories with the world. Squarespace’s team of more than 1300 is headquartered in downtown New York City, with offices in Dublin and Portland. For more information, visit www.squarespace.com/about.
Benefits & Perks
Health insurance with 100% premium covered for you and your dependent children
Flexible vacation & paid time off
Up to 20 weeks of paid family leave
Equity plan for all employees
Retirement benefits with employer match
Fertility and adoption benefits
Free lunch and snacks at all offices
Education reimbursement
Dog-friendly workplace in New York office
Commuter benefit in the form of reduced tax (Ireland) and pretax (US)
Today, more than a million people around the globe use Squarespace to share different perspectives and experiences with the world. Not only do we embrace and celebrate the diversity of our customer base, but we also strive for the same in our employees. At Squarespace, we are committed to equal employment opportunity regardless of race, color, ethnicity, ancestry, religion, national origin, gender, sex, gender identity or expression, sexual orientation, age, citizenship, marital or parental status, disability, veteran status, or other class protected by applicable law. We are proud to be an equal opportunity workplace.
",https://www.linkedin.com/jobs/view/senior-data-engineer-customer-operations-data-at-squarespace-2311875709?refId=d9a19134-d2cb-4899-b726-d0f08d6f2554&position=8&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click
JOB49900758389,"Results for ""Data Engineer Jobs in San Diego, California, United States""","Results for ""Data Engineer Jobs in San Diego, California, United States""",,,,https://www.linkedin.com/jobs/data-engineer-jobs-san-diego-ca
JOB55518504303,Senior Data Engineer,Senior Data Engineer,,"Passionate about building a product with a positive impact on the world,5+ years professional experience as a software engineer or data engineer,Strong working knowledge of Python, Docker, Airflow (or a similar data workflow tool), and cloud computing concepts,Willing to learn new tools, languages, and patterns as needed to build a great product,A solid communicator who enjoys collaborating with other engineers, designers, PMs, and scientists","The Company‍
Sofar is on a mission to connect humanity to our world’s oceans. We collect data from a global network of distributed sensors to create the best marine weather forecasts. With more ocean data we help maritime customers to save fuel and reduce emissions. Our hardware and software platform gives researchers vital tools to understand the impact of climate change on commercial fisheries and coral reefs. Our goal is to provide critical ocean data and insights to anyone who lives near, or makes a living on the two-thirds of our planet that is covered by water.
The Position
We are looking for an experienced data engineer to refine and scale our weather forecast data pipeline. This pipeline combines realtime sensor readings from our worldwide fleet of ocean buoys, publicly available weather data sources, and our own proprietary forecast model into a variety of data products suitable for visualization and scientific analysis. In this role, you would be responsible for building out extensions to our current pipeline to scale and bring on board new data sources, as well as improve the reliability or existing pipeline where it supports mission-critical applications in production.
In this role, you would work alongside our software engineering team building out APIs and frontend applications that use our data, as well as domain experts in ocean science and other data scientists performing analysis on weather data. You will quickly learn that “the forecast” is a lot more complicated than it seems at first glance; our team works with multiple forecast models that each produce gigabytes of data every hour, at every location on the globe. Most of the industry-standard tools and data formats are optimized for an era of supercomputers, not cloud computing. We are looking for the right person who is up for the challenge of turning this data into something that can be indexed, filtered and queried efficiently across space and time.
Currently our stack is built with Apache Airflow, Docker & Kubernetes, Postgres/PostGIS, and AWS S3.
About You
Passionate about building a product with a positive impact on the world
5+ years professional experience as a software engineer or data engineer
Strong working knowledge of Python, Docker, Airflow (or a similar data workflow tool), and cloud computing concepts
Willing to learn new tools, languages, and patterns as needed to build a great product
A solid communicator who enjoys collaborating with other engineers, designers, PMs, and scientists
Excited to be be a part of a small but growing startup team
How to Apply
If this job aligns with your passion and experience, we would love to hear from you!
Visit our website and apply today!
Employee Conduct
It is the responsibility of every employee to contribute to a positive work environment through cooperative and professional interactions with co-workers, customers, and vendors.
Equal Employment Opportunity
All qualified applicants will receive consideration for employment without discrimination on the basis of race, color, religion, sex, sexual orientation, gender identity, national origin, protected veteran status, disability, or any other factors prohibited by law.
Industries
Information Technology and Services
",https://www.linkedin.com/jobs/view/senior-data-engineer-at-sofar-ocean-2282697698
JOB60882150773,Data Engineer - Data Platform,Data Engineer - Data Platform,"Bachelor’s degree in computer science/software engineering or related fields with 3+ years of experience in data engineering,3+ years of experience working with Python, NodeJS,2+ years of experience working with Kafka based pipeline development,Strong knowledge of SQL is required,1+ year of hands-on experience with Apache Airflow,Experience with distributed computing using Hadoop ecosystem, Spark, Presto.,Knowledge of Java, Scala,Knowledge of Kafka connect ecosystem","Build and manage Kafka based streaming data pipelines,Build and manage Airflow based ETLs,Monitor and improve performance of the pipelines,Develop storage layer (relational / non-relational) for hosting data for analytical queries","Tesla is looking for a talented data engineer with experience working with the highly transactional and scalable data platform. We are working on architecture to support analytics on Tesla’s complex business applications suite. With this architecture, our business users should be able to get “What”, “When” and “how” answered much faster and help them to take data driven decisions
Responsibilities
Build and manage Kafka based streaming data pipelines
Build and manage Airflow based ETLs
Monitor and improve performance of the pipelines
Develop storage layer (relational / non-relational) for hosting data for analytical queries
Work on fast pace projects to deliver innovative solutions for our business users
Requirements
Bachelor’s degree in computer science/software engineering or related fields with 3+ years of experience in data engineering
3+ years of experience working with Python, NodeJS
2+ years of experience working with Kafka based pipeline development
Strong knowledge of SQL is required
1+ year of hands-on experience with Apache Airflow
Ability to debug production issues using tools like Grafana, Splunk or server logs
Nice to have
Experience with distributed computing using Hadoop ecosystem, Spark, Presto.
Knowledge of Java, Scala
Knowledge of Kafka connect ecosystem
Experience with Docker, Kubernetes
",https://www.linkedin.com/jobs/view/data-engineer-data-platform-at-tesla-2314382738?refId=1177ff47-28db-4659-ae5c-48e0ca19e540&trackingId=CVdTAl9I7tEPL2Ej2NN%2BSg%3D%3D
JOB75074692436,"5,000+Results for ""Data Engineer Jobs in San Jose, California, United States""(351 new)","5,000+Results for ""Data Engineer Jobs in San Jose, California, United States""(351 new)",,,,https://www.linkedin.com/jobs/data-engineer-jobs-san-jose-ca
JOB76827990985,Scientific Data Engineer II - Image Processing and Registration - Neural Circuits and Behavior,Scientific Data Engineer II - Image Processing and Registration - Neural Circuits and Behavior,,"Collaborate with neuroscientists and engineers to develop methods and workflows for image processing, registration, and alignment,Build and support pipelines for analysis of imaging datasets across multiple modalities,Contribute to open-source codebases in a collaborative manner,Produce well-documented, modular code that is useable and interpretable by research scientists,Participate in code review, scientific discussions, and project planning,Bachelor’s in software engineering, computer science, bioengineering, computational neuroscience, bioinformatics or related field or equivalent combination of degree and experience,Minimum 1 year of relevant experience post bachelor’s degree,Demonstrated excellent Python programming skills,Experience building, documenting, and maintaining a modular system,Experience with microscopy, image processing or image registration,Excellent organizational and interpersonal skills,Ability to manage time and independently complete tasks to meet deadlines,Strong work ethic, reliable and enthusiastic team player,Bachelor’s degree and 2 – 4 years of professional experience in software development, optical engineering, microscopy, bioengineering or related discipline,Experience working in a scientific research environment,Experience with machine vision and/or machine learning,Experience contributing to open-source codebases,Experience producing data visualizations and data dashboards,Please note, this opportunity offers relocation assistance,Please note, this opportunity offers work visa sponsorship","Data Scientist II (Scientific Data Engineer) – Imaging Processing and Registration – Neural Circuits and Behavior
The mission of the Allen Institute is to unlock the complexities of bioscience and advance our knowledge to improve human health. Using an open science, multi-scale, team-oriented approach, the Allen Institute focuses on accelerating foundational research, developing standards and models, and cultivating new ideas to make a broad, transformational impact on science.
The MindScope program seeks to understand the transformations, sometimes called computations, in coding and decoding that lead from photons to behavior and conscious experience by observing, perturbing, and modeling the physical transformations of signals in the cortical-thalamic visual system within a few perception-action cycles.
We are seeking a Scientific Data Engineer to be an integral member of a team investigating the role of neural circuits in learning and behavior. The primary role of this Engineer will be to develop and maintain tools for processing, registration and analysis of image-based data acquired using 2-photon microscopy, epifluorescence microscopy, and light sheet fluorescence microscopy. This Engineer will collaborate with Scientists to develop robust, standardized workflows that will support large-scale data collection and analysis. This will involve building new tools as well as contributing to existing open source codebases for analysis of neural data (ex: https://github.com/AllenInstitute/AllenSDK) and spatial transcriptomics (ex: https://spacetx-starfish.readthedocs.io/en/latest/).
The ideal candidate will have strong software engineering skills, experience working with imaging data, and experience or interest in neuroscientific research. As part of a highly collaborative team environment, good communication and enthusiasm for working with, learning from, and teaching others is essential to this role.
The datasets and tools created as part of this project will be publicly released as an open resource for the community, in line with the Allen Institute’s core principles of big science, open science and team science.
The Allen Institute believes that team science significantly benefits from the participation of diverse voices, experiences, and backgrounds. High-quality science can only be produced when it includes different perspectives. We are committed to increasing diversity across every team and encourage people from all backgrounds to apply for this role.
Essential Functions
Collaborate with neuroscientists and engineers to develop methods and workflows for image processing, registration, and alignment
Build and support pipelines for analysis of imaging datasets across multiple modalities
Contribute to open-source codebases in a collaborative manner
Produce well-documented, modular code that is useable and interpretable by research scientists
Participate in code review, scientific discussions, and project planning
Required Education and Experience
Bachelor’s in software engineering, computer science, bioengineering, computational neuroscience, bioinformatics or related field or equivalent combination of degree and experience
Minimum 1 year of relevant experience post bachelor’s degree
Demonstrated excellent Python programming skills
Experience building, documenting, and maintaining a modular system
Experience with microscopy, image processing or image registration
Excellent organizational and interpersonal skills
Ability to manage time and independently complete tasks to meet deadlines
Strong work ethic, reliable and enthusiastic team player
Preferred Education and Experience
Bachelor’s degree and 2 – 4 years of professional experience in software development, optical engineering, microscopy, bioengineering or related discipline
Experience working in a scientific research environment
Experience with machine vision and/or machine learning
Experience contributing to open-source codebases
Experience producing data visualizations and data dashboards
Physical Demands
Fine motor movements in fingers/hands to operate computers and other office equipment
Position Type/Expected Hours of Work
This role is currently able to work remotely due to COVID-19 and our focus on employee safety. We are a Washington State employer, and remote work must be performed in Washington State. We continue to evaluate the safest options for our employees. As restrictions are lifted in relation to COVID-19, this role will return to work onsite.
Additional Comments
Please note, this opportunity offers relocation assistance
Please note, this opportunity offers work visa sponsorship
It is the policy of the Allen Institute to provide equal employment opportunity (EEO) to all persons regardless of age, color, national origin, citizenship status, physical or mental disability, race, religion, creed, gender, sex, sexual orientation, gender identity and/or expression, genetic information, marital status, status with regard to public assistance, veteran status, or any other characteristic protected by federal, state, or local law. In addition, the Allen Institute will provide reasonable accommodations for qualified individuals with disabilities.
",https://www.nature.com/naturecareers/job/scientific-data-engineer-ii-image-processing-and-registration-neural-circuits-and-behavior-allen-institute-for-brain-science-744917
JOB86723011949,"20,000+Results for ""Senior Data Engineer Jobs in United States""(929 new)","20,000+Results for ""Senior Data Engineer Jobs in United States""(929 new)","Must have a minimum of 2 years of Cyber Security Engineering experience, to include application of cyber security methodologies in an Enterprise environment,Must have experience with the following Security Frameworks: NIST 800-171r2,Candidates must have the ability to obtain, an maintain, a DOD Secret level security clearance as a condition of continued employment Preferred Qualifications: Certifications/Degrees,The ideal candidate will have a Master's degree in an STEM related discipline, and 6 years of experience with Cyber Security Engineering,Professional/technical certifications: CISSP, CISM, CCSP, Security Plus, AWS Certified Security - Specialty, AWS Certified Solutions Architect, Azure Security Engineer, Azure Solutions Architect,DoD 8570 IAT/IAM Level II or III certificationSecurity Skills,Senior-level cyber security engineering and architecture experience,Experience with interpreting and implementing security compliance standards and guidance including Governance, Risk & Compliance (GRC) policies and procedures, NIST 800-171 security control framework,Experience in areas such as system security, network, and application security,Knowledge of current and emerging cyber security threats, vulnerabilities, and controls,Contributor for architectural/industry changes in the area of cyber securityTechnical Skills,Experience with evaluating, designing, configuring, implementing cloud services models such as SaaS, PaaS, and IaaS,Experience with Linux and Windows operating systems,Experience with operating in an Agile/DevOps environment,Experience with Scripting,Knowledge of application program interface (API) and ability to manipulate API's to integrate different toolsets,Advanced knowledge in cybersecurity principles, networking, architecture, servers, systems design, virtual hosts, configuration management, Identity and Access Management, encryption, intrusion detection systems (IDS) and intrusion prevention systems (IPS),Experience in supporting the deployment, configuring, managing, and maintaining any of the below technologies:,Directory Services and Centralized Authentication, such as Active Directory or Red Hat,Identity Manager Vulnerability scanning and management of databases, operating systems, and/or web applications,IDS/IPS and anti-malware tools/technologiesProcess Skills,Experience with Agile, Scrum and Application Lifecycle Management (ALM),Experience operating in an Agile/DevOps environmentSoft skills,Exceptional verbal and written communications.,Quickly learn and adapt to new and changing business/technical concepts, requirements, skills, tools,Goal-oriented team player committed to quality and detail,Proven track record of driving decisions collaboratively, resolving conflicts and ensuring follow-through,Innovative and strategic thinker who is positive, proactive and readily embraces change","Design and engineer solutions that meets business requirements, cyber security practices, and compliance regulations * Provide security guidance in compliance with NIST 800-171r2 and Cyber Maturity Model Certification (CMMC) * Asses technical designs and identify security design gaps in existing and proposed architectures,Identify and communicate current and emerging security threats,Identify risks and provide guidance regarding remediation of gaps to facilitate a hardened and sustainable solutions,Take ownership of solutions, assignments, actions items and issues, and remain accountable for their completion,Work effectively with other team members, customers and key stakeholders and foster team success,Communicate and collaborate with leadership and technical teams to include systems and network administrators, security engineers, and IT Support teams,Security and risk assessments for services, applications, hardware and systems","Responsibilities
Transforming the future of technology ... Northrop Grumman Enterprise Services is seeking senior level Cyber Security Engineer to join the Information Security team supporting its mission of defending and protecting the company's networks, systems, data, intellectual property and personal information wherever it resides. Experience with security engineering is key for this role.
Design and engineer solutions that meets business requirements, cyber security practices, and compliance regulations * Provide security guidance in compliance with NIST 800-171r2 and Cyber Maturity Model Certification (CMMC) * Asses technical designs and identify security design gaps in existing and proposed architectures
Identify and communicate current and emerging security threats
Identify risks and provide guidance regarding remediation of gaps to facilitate a hardened and sustainable solutions
Take ownership of solutions, assignments, actions items and issues, and remain accountable for their completion
Work effectively with other team members, customers and key stakeholders and foster team success
Communicate and collaborate with leadership and technical teams to include systems and network administrators, security engineers, and IT Support teams
Security and risk assessments for services, applications, hardware and systems
Work with the Sector Chief Information Security Officer on a regular basis to provide security recommendations for approval.This position will have the ability to work virtually (from a home office) for the foreseeable future. However, the person will eventually be required to work at our Linthicum, MD facility (local candidates are preferred). Additionally, there will be occasional travel to various Northrop Grumman facilities across the country. Come join us on the edge ... the cutting edge! ESCSO
NGFeaturedJobs Qualifications: Basic Qualifications: * PhD with 0 years of IT experience; OR a Master's Degree with 3 years of IT experience; OR a Bachelor's Degree with 5 years of IT experience; OR an Associates degree with 7 years of IT experience; OR a High School Diploma with 9 years of IT experience is required
Must have a minimum of 2 years of Cyber Security Engineering experience, to include application of cyber security methodologies in an Enterprise environment
Must have experience with the following Security Frameworks: NIST 800-171r2
Candidates must have the ability to obtain, an maintain, a DOD Secret level security clearance as a condition of continued employment Preferred Qualifications: Certifications/Degrees
The ideal candidate will have a Master's degree in an STEM related discipline, and 6 years of experience with Cyber Security Engineering
Professional/technical certifications: CISSP, CISM, CCSP, Security Plus, AWS Certified Security - Specialty, AWS Certified Solutions Architect, Azure Security Engineer, Azure Solutions Architect
DoD 8570 IAT/IAM Level II or III certificationSecurity Skills
Senior-level cyber security engineering and architecture experience
Experience with interpreting and implementing security compliance standards and guidance including Governance, Risk & Compliance (GRC) policies and procedures, NIST 800-171 security control framework
Experience in areas such as system security, network, and application security
Knowledge of current and emerging cyber security threats, vulnerabilities, and controls
Contributor for architectural/industry changes in the area of cyber securityTechnical Skills
Experience with evaluating, designing, configuring, implementing cloud services models such as SaaS, PaaS, and IaaS
Experience with Linux and Windows operating systems
Experience with operating in an Agile/DevOps environment
Experience with Scripting
Knowledge of application program interface (API) and ability to manipulate API's to integrate different toolsets
Advanced knowledge in cybersecurity principles, networking, architecture, servers, systems design, virtual hosts, configuration management, Identity and Access Management, encryption, intrusion detection systems (IDS) and intrusion prevention systems (IPS)
Experience in supporting the deployment, configuring, managing, and maintaining any of the below technologies:
Directory Services and Centralized Authentication, such as Active Directory or Red Hat
Identity Manager Vulnerability scanning and management of databases, operating systems, and/or web applications
IDS/IPS and anti-malware tools/technologiesProcess Skills
Experience with Agile, Scrum and Application Lifecycle Management (ALM)
Experience operating in an Agile/DevOps environmentSoft skills
Exceptional verbal and written communications.
Quickly learn and adapt to new and changing business/technical concepts, requirements, skills, tools
Goal-oriented team player committed to quality and detail
Proven track record of driving decisions collaboratively, resolving conflicts and ensuring follow-through
Innovative and strategic thinker who is positive, proactive and readily embraces change
Demonstrated ability to explain technical details to a non-technical audienceNorthrop Grumman is committed to hiring and retaining a diverse workforce. We are proud to be an Equal Opportunity/Affirmative Action Employer, making decisions without regard to race, color, religion, creed, sex, sexual orientation, gender identity, marital status, national origin, age, veteran status, disability, or any other protected class. For our complete EEO/AA and Pay Transparency statement, please visit www.northropgrumman.com/EEO. U.S. Citizenship is required for most positions.
",https://www.linkedin.com/jobs/senior-data-engineer-jobs
