id,title,name,requirements,tasks,text,pageUrl
JOB1241441652,"Results for ""Senior Data Scientist Jobs in United States""","Results for ""Senior Data Scientist Jobs in United States""",,,"
3,000+Results for ""Senior Data Scientist Jobs in United States""(104 new)
",https://www.linkedin.com/jobs/senior-data-scientist-jobs
JOB4457932128,Data Scientist,Data Scientist,"2+ years of relevant experience preferred.,Healthcare industry knowledge/experience preferred.","Lead effort to determine overpayments from contracts and from other sources of information.,Automate procedures for obtaining, reading, parsing, and understanding contracts.,Improve pricing procedures when contracts are not available.,Support initiatives for data and process quality.,Interface with others in our Data Science and Data Analytics teams.,Explain insights to team members and other Equian employees,Provide technical expertise on other aspects of claim scoring as needed.,Bachelor’s degree in a quantitative field.,Strong understanding of Natural Language Processing.,Experience in Python or R.,Proficiency in basic SQL commands and queries.,Strong analytical and quantitative skills.,Self-starter and eager to learn.,Excellent communication skills, both written and verbal.,Demonstrated ability to build relationships and work as part of a team.","Equian is looking to hire a Data Scientist to join our Data Science team in Woburn, MA. The Data Scientist will lead the effort to improve overpayment accuracy for healthcare claims using a variety of techniques. In order to succeed in this role, you must be comfortable working with others in a fast-paced environment. In addition, you will need an eye for detail, experience as a data scientist, and a good understanding of Natural Language Processing. The successful candidate will have a strong work ethic and a data-driven approach and must be authorized to work in the USA.
DUTIES AND RESPONSIBILITIES
Lead effort to determine overpayments from contracts and from other sources of information.
Automate procedures for obtaining, reading, parsing, and understanding contracts.
Improve pricing procedures when contracts are not available.
Support initiatives for data and process quality.
Interface with others in our Data Science and Data Analytics teams.
Explain insights to team members and other Equian employees
Provide technical expertise on other aspects of claim scoring as needed.
QUALIFICATIONS
Bachelor’s degree in a quantitative field.
Strong understanding of Natural Language Processing.
Experience in Python or R.
Proficiency in basic SQL commands and queries.
Strong analytical and quantitative skills.
Self-starter and eager to learn.
Excellent communication skills, both written and verbal.
Demonstrated ability to build relationships and work as part of a team.
Preferred Qualifications
2+ years of relevant experience preferred.
Healthcare industry knowledge/experience preferred.
",https://www.linkedin.com/jobs/view/872319287/
JOB4545291640,"Data Scientist, New Grad 2019 - Analytics","Data Scientist, New Grad 2019 - Analytics","Pursuing a PhD or MS in CS, Math, Statistics, Physics, Economics or other quantitative field with an expected graduation date of Winter 2018 or Spring/Summer 2019. We will also consider candidates with quantitative backgrounds who are currently enrolled in business school.,Ability to think and execute at multiple altitudes: from strategy and vision to execution.,Interpersonal skills with demonstrated ability to influence outcomes and communicate technical content to general audiences, including ability to “story tell” with data.,Ability to write and mentor code development in SQL and Python (or R).,Experience with dashboard design and data viz tools (i.e. Tableau) is a plus,Experience with building data pipelines is a plus.,Stock,$2,000 yearly employee travel coupon,Competitive salary,Paid time off,Medical, dental, & vision insurance,Life & disability coverage,401K,Flexible Spending Accounts,Apple equipment,Daily breakfast, lunch, and dinner","Analysis:,Deep dive analysis into Airbnb’s vast data to uncover opportunities.,Partner with data scientists and analysts to help “tell the story” behind the data.,Product Strategy:,Partnering with leadership to prioritize areas of opportunity to drive growth/quality.,Evaluate and define product and business metrics.,Product Execution:,Communicate state of the business to stakeholders.,Digest and interpret experiments.,Decision Tools:,Democratize data by building and socializing decision tools (dashboards, reports).,Build key data sets/pipelines to empower operational and exploratory analysis.","Job description
In order to be considered for this role, you must be graduating from your degree program in Winter of 2018 or Spring/Summer of 2019. Note: Due to volume of applications we receive, we kindly ask that you only apply to a maximum of one Data Scientist role from among those posted. This does not preclude you from being considered for multiple roles. Thank you.
About Airbnb
Airbnb’s mission is to connect people to unique travel experiences, in more than 34,000 cities and 190 Countries. We are making it possible for hosts to supplement their income while helping visitors from around the world experience neighborhoods and communities outside traditional tourist zones.
Here at Airbnb, we’re big fans of travel. We love thinking about the diversity of experiences our host community offers, and we spend a fair amount of time trying to make sense of the tens of thousands of cities where people are booking trips every night. The tricky thing is, most of us haven’t been to Cuba, so we try to come up with creative ways to help people find the experience they’re looking for in places they may have never been. The data science team works in tandem with product management, engineering, and design teams to solve for things like this.
Some Areas Of Responsibility Include
Analysis:
Deep dive analysis into Airbnb’s vast data to uncover opportunities.
Partner with data scientists and analysts to help “tell the story” behind the data.
Product Strategy:
Partnering with leadership to prioritize areas of opportunity to drive growth/quality.
Evaluate and define product and business metrics.
Product Execution:
Communicate state of the business to stakeholders.
Digest and interpret experiments.
Decision Tools:
Democratize data by building and socializing decision tools (dashboards, reports).
Build key data sets/pipelines to empower operational and exploratory analysis.
Qualifications
Pursuing a PhD or MS in CS, Math, Statistics, Physics, Economics or other quantitative field with an expected graduation date of Winter 2018 or Spring/Summer 2019. We will also consider candidates with quantitative backgrounds who are currently enrolled in business school.
Ability to think and execute at multiple altitudes: from strategy and vision to execution.
Interpersonal skills with demonstrated ability to influence outcomes and communicate technical content to general audiences, including ability to “story tell” with data.
Ability to write and mentor code development in SQL and Python (or R).
Experience with dashboard design and data viz tools (i.e. Tableau) is a plus
Experience with building data pipelines is a plus.
Benefits
Stock
$2,000 yearly employee travel coupon
Competitive salary
Paid time off
Medical, dental, & vision insurance
Life & disability coverage
401K
Flexible Spending Accounts
Apple equipment
Daily breakfast, lunch, and dinner
",https://www.linkedin.com/jobs/view/918212908/?recommendedFlavor=IN_NETWORK&trk=d_flagship3_job_home_savedjobs
JOB6128245751,Postdoc Positions in Single Cell Genomics - Data Scientist and Cancer Biologist,Postdoc Positions in Single Cell Genomics - Data Scientist and Cancer Biologist,,,"
Single Cell Data Scientist – Postdoc
Single Cell Cancer Biologist – Postdoc
Summary
The Navin laboratory (www.navinlab.com) at the MD Anderson Cancer Center in Houston TX (www.mdanderson.org) has two open postdoctoral fellow positions. We are looking for bright, motivated individuals that are interested in working on cutting-edge research projects that will use single cell sequencing technologies with spatial resolution to study cancer evolution, including invasion, metastasis and therapy resistance. Our interdisciplinary team combines experimental biology, technology development and computational biology to address major questions in cancer genomics. We focus mainly on the genomic analysis of human tumor tissues and collaborate closely with clinical groups at MD Anderson. More information on each position is listed below:
Computational Biologist – Postdoctoral Fellow
The ideal candidate for this position will have a Ph.D. in bioinformatics, computational biology or data science. The person should be highly proficient in scripting languages (perl, python) and statistical languages such as R, particularly in the use of packages such as bioconducter or biopython. Additional programming skills in Java or C++ will be useful. The applicant should have extensive experience working in unix environments with computing clusters/servers. A strong background and course work in statistics, computer science and data science is also required. The individual will work on developing new computational approaches for analyzing large-scale single cell sequencing datasets that are generated in our laboratory from single cell DNA, RNA or ATAC-seq platforms. This data will be used to study the evolution of tumor cells and cell types in the microenvironment. The individual will work closely with technologists and experimental biologists to develop new single cell sequencing technologies, including methods with spatial resolution. A background in working with imaging and spatial data will be very beneficial for integrating single cell genomic and spatial datasets.
Cancer Biologist – Postdoctoral Fellow
The ideal candidate for this position will have a Ph.D. in cancer biology, molecular biology or genomics. The individual will be proficient in molecular biology skills, including standard cancer assays, cell culture, PCR, qPCR and next-generation sequencing methods. The ideal candidate will be highly motivated, independant and excited about developing and applying new technologies to study cancer evolution. Background in ecology or evolution, or cancer evolution would be beneficial but is not required. The postdoc will work on research projects that involve understanding cancer evolution in response to therapy using multiple single cell DNA, RNA and ATAC sequencing technologies, as well as spatially-resolved genomic approaches and other genomic & molecular biology approaches.
Please send CV and cover letter to:
Nicholas Navin, Ph.D.
nnavin@mdanderson.org
Favorite
",http://www.nature.com/naturejobs/science/jobs/666041-postdoc-positions-in-single-cell-genomics-data-scientist-and-cancer-biologist
JOB10183465933,Principal Data Scientist,Principal Data Scientist,"PhD or MS in computational biology, computer science, statistics, or a related quantitative science field with 7+ years (9+ for MS) of project-based work in computational/quantitative data analysis in biology related fields,Proficiency in analysing data with R, Matlab or Python,Strong interested in biology and immunological diseases, liaise with scientists from Immunology and Inflammation to help define and address biological questions with computational and analytical approach,Proficiency in biostatistics, linear/non-linear regression models, dimensionality reduction, clustering, AI/machine learning methods,Ability to develop, benchmark and apply predictive algorithms to identify novel biomarkers, dissect gene/disease relationships and generate hypotheses,Experience with Bayesian analysis and causal inference,Excellent written and oral communication skills,Excellent interpersonal and team skills","Lead projects to Identify candidate therapeutic targets and biomarkers for immunology, through integrated analysis of high-throughput molecular data, real-world data and clinical phenotypes,Explore opportunities to re-position existing drugs in novel indications,Collaborate with wet-lab and computational scientific teams and champion projects from discovery to early clinical development.,Develop innovative and creative computational approaches to understand complex immune conditions using multi-dimensional –omics and clinical data,Establish interactions with collaborators within and outside the Immunology and Inflammation Research and Early Development Therapeutic Area.,Prepare publications, research and clinical/regulatory documentation in accordance with Sanofi quality standards.","The Immunology and Inflammation Research and Early Development Therapeutic Area in Sanofi is building a world-class immunology team and is seeking a highly motivated computational scientist to lead in silico analytical projects for patients stratification and novel target identification in the fields of Type 2 Immunity and Fibrosis, Immune Checkpoint Biology, Type 1 Diabetes, Autoimmunity and Innate Immunity.
We are seeking a Principal Data Scientist to join the Precision Immunology Cluster. The successful candidate will have extensive experience in the development and application of biostatistical, computational and machine learning methods to solve biological problems, excellent oral and written communication skills, and the ability to learn and acquire new techniques and methodologies.
The candidate is expected to lead and execute analytical projects and develop analytical strategies for the identification of novel therapeutic targets, the discovery of predictive biomarkers for patients’ stratification, and analysis of molecular, real-world and clinical data to assess drug (re-)positioning opportunities.
This exciting role will afford talented data scientists the opportunity to translate their data-driven developments and ideas into novel therapeutic hypotheses.
Summary of Key Responsibilities:
Lead projects to Identify candidate therapeutic targets and biomarkers for immunology, through integrated analysis of high-throughput molecular data, real-world data and clinical phenotypes
Explore opportunities to re-position existing drugs in novel indications
Collaborate with wet-lab and computational scientific teams and champion projects from discovery to early clinical development.
Develop innovative and creative computational approaches to understand complex immune conditions using multi-dimensional –omics and clinical data
Establish interactions with collaborators within and outside the Immunology and Inflammation Research and Early Development Therapeutic Area.
Prepare publications, research and clinical/regulatory documentation in accordance with Sanofi quality standards.
Essential Qualifications:
PhD or MS in computational biology, computer science, statistics, or a related quantitative science field with 7+ years (9+ for MS) of project-based work in computational/quantitative data analysis in biology related fields
Proficiency in analysing data with R, Matlab or Python
Strong interested in biology and immunological diseases, liaise with scientists from Immunology and Inflammation to help define and address biological questions with computational and analytical approach
Proficiency in biostatistics, linear/non-linear regression models, dimensionality reduction, clustering, AI/machine learning methods
Preferred Qualifications:
Ability to develop, benchmark and apply predictive algorithms to identify novel biomarkers, dissect gene/disease relationships and generate hypotheses
Experience with Bayesian analysis and causal inference
Excellent written and oral communication skills
Excellent interpersonal and team skills
Favorite
",https://www.nature.com/naturecareers/job/principal-data-scientist-sanofi-genzyme-waltham-706667
JOB21307925883,Data Scientist,Data Scientist,"Bachelor’s degree from an accredited college/university in Computer Science, Computational Linguistics, Statistics, Mathematics, Engineering, Bioinformatics, Physics, Operations Research or related fields.,Minimum 2 years relevant work experience (if bachelor’s degree) or minimum 0 years relevant work experience (if master’s degree) with a proven track record in driving value in a commercial setting using data science skills.,In-depth knowledge of various modeling algorithms e.g. Linear, GLMs, trees-based models, neural networks, clustering, PCA, and time series models.,Proficiency in R (e.g. ggplot2, cluster, dplyr, caret), Python (e.g. pandas, scikit-learn, bokeh, nltk), Spark – MLlib, H20, or other statistical tools.,In-depth knowledge of databases, data modeling, Hadoop, and distributed computing frameworks.,Experience in software development environment, Agile, and code management/versioning (e.g. git).,Strong SQL skills and experience/knowledge.,Ability to understand complex and ambiguous business needs and applying the right tools and approaches.,Must be curious, self-motivating, driven and have a passion for problem solving.,Collaborative team player.,Excellent communication skills, both written and verbal.,Experience developing and testing machine learning and/or statistical projects.,Master’s degree from an accredited college/university in Business Analytics, Computer Science, Machine Learning, Computational Linguistics, Statistics, Mathematics, Engineering, Bioinformatics, Physics, Operations Research, or related fields.,Experience in agriculture or commodity businesses.,Experience in deep learning neural networks.,Experience with weather and geospatial data.,Experience with “computer vision” applications with images and video,Experience with back testing strategies,Experience working in a cloud environment e.g. Amazon Web Services.,Experience with Big Data development in Hadoop and Spark frameworks.","10% Network with business stakeholders to develop a pipeline of data science projects aligned with business strategies. Translate complex and ambiguous business problems into project charters clearly identifying technical risks and project scope.,10% Work in a cross-disciplinary project team of database specialists, data scientists, and business subject-matter experts to complete project deliverables on-time and within budget.,10% Design strategies and propose algorithms to analyze and leverage data from existing as well as new data sources.,50% Develop and code models by applying algorithms to large structured as well as unstructured data sets for our more complex projects. Develop visualization products to share analysis across a large group of business users.,20% Continuously seek out industry best practices and develop skills to create new capabilities for data analytics at Cargill to improve business decisions.","Job description
Position Purpose & Summary
Want to work at the forefront of artificial intelligence and agriculture? Cargill has a significant presence across most supply chains in the agricultural space. With that footprint comes massive amounts of data that can inform us about markets and ways to improve our business practices. This position will be part of the Engineering R&D team and will bring strong technical skills to our data science capabilities. You will work in a multidisciplinary team exploring, connecting, and mining internal data sources and will develop data models using algorithms for pattern detection and forecasting. In this position you will be managing projects that use advanced analytics techniques, such as optimization, computer vision, machine learning, and statistical analysis, to develop solutions that help deliver significant value to a variety of Cargill’s businesses and functions. Candidates will be exposed to a wide spectrum of high visibility projects ranging from sales effectiveness, competitive excellence, operational efficiency, sourcing and procurement, supply-chain optimization to trading and financial analysis.
Candidates with experience in computational biology and genomics or genetic databases are a plus.
Principal Accountabilities
10% Network with business stakeholders to develop a pipeline of data science projects aligned with business strategies. Translate complex and ambiguous business problems into project charters clearly identifying technical risks and project scope.
10% Work in a cross-disciplinary project team of database specialists, data scientists, and business subject-matter experts to complete project deliverables on-time and within budget.
10% Design strategies and propose algorithms to analyze and leverage data from existing as well as new data sources.
50% Develop and code models by applying algorithms to large structured as well as unstructured data sets for our more complex projects. Develop visualization products to share analysis across a large group of business users.
20% Continuously seek out industry best practices and develop skills to create new capabilities for data analytics at Cargill to improve business decisions.
[AGENCY DISCLAIMER: Notice to Staffing Agencies, Placement Services, and Professional Recruiters can be found on cargill.com/careers]
Cargill provides food, agriculture, financial and industrial products and services to the world.
Job
Research and Development
Primary Location
US-MN-Plymouth
Schedule
Full-time
Job Type
Standard
Shift
Day Job
Required Qualifications
Bachelor’s degree from an accredited college/university in Computer Science, Computational Linguistics, Statistics, Mathematics, Engineering, Bioinformatics, Physics, Operations Research or related fields.
Minimum 2 years relevant work experience (if bachelor’s degree) or minimum 0 years relevant work experience (if master’s degree) with a proven track record in driving value in a commercial setting using data science skills.
In-depth knowledge of various modeling algorithms e.g. Linear, GLMs, trees-based models, neural networks, clustering, PCA, and time series models.
Proficiency in R (e.g. ggplot2, cluster, dplyr, caret), Python (e.g. pandas, scikit-learn, bokeh, nltk), Spark – MLlib, H20, or other statistical tools.
In-depth knowledge of databases, data modeling, Hadoop, and distributed computing frameworks.
Experience in software development environment, Agile, and code management/versioning (e.g. git).
Strong SQL skills and experience/knowledge.
Ability to understand complex and ambiguous business needs and applying the right tools and approaches.
Must be curious, self-motivating, driven and have a passion for problem solving.
Collaborative team player.
Excellent communication skills, both written and verbal.
Experience developing and testing machine learning and/or statistical projects.
Strong presentation skills. Ability to present statistical results to lay persons in an easy to understand way.
Preferred Qualifications
Master’s degree from an accredited college/university in Business Analytics, Computer Science, Machine Learning, Computational Linguistics, Statistics, Mathematics, Engineering, Bioinformatics, Physics, Operations Research, or related fields.
Experience in agriculture or commodity businesses.
Experience in deep learning neural networks.
Experience with weather and geospatial data.
Experience with “computer vision” applications with images and video
Experience with back testing strategies
Experience working in a cloud environment e.g. Amazon Web Services.
Experience with Big Data development in Hadoop and Spark frameworks.
Experience with predictive model deployment, tuning, and performance monitoring
",https://www.linkedin.com/jobs/view/718276942/
JOB21502666085,Sr. Data Scientist/Research Engineer,Sr. Data Scientist/Research Engineer,"Strong working knowledge of a variety of machine learning and analytical techniques and understanding of how and where they are applicable.,Software engineering programing skills with coding experience using Java/Scala or Python, in addition to machine learning and data mining libraries.,Experience working with high performance computing in distributed and parallel systems, e.g. Hadoop, Tez & Spark,Strong mathematical and statistical background, with thorough understanding of probability,Experience in data science and machine learning with a degree in Computer Science, Mathematics or another empirical science,Commercial experience building and deploying scalable software solutions that employ machine learning algorithms in production environments,Self-starter, comfortable juggling multiple projects, strong communication skills,Experience with NLP techniques and tools a plus.,Have developed production data science solutions in healthcare, ad tech or web search,Prior experience building recommendation systems and/or natural language processing solutions,Healthcare Domain expertise","Design, coding, testing and monitoring of new classifiers in production environments that drive our analytical and SaaS product platforms,Maintain our data assets,Perform large-scale data analysis,Work closely with other groups like product, engineering and customer operations to acquire requirements and develop new systems that solve their problems","Job description
Healthcare has a data problem. Over a billion patient documents are created per year. This data should be used to improve healthcare delivery, but it isn’t – because it’s stored in different places, in different forms, and is of different quality. Apixio’s artificial intelligence platform is built specifically to address this problem. Join us, and help change healthcare.
About You:
As a Senior Research Engineer you will collaborate with other members on Data Science team in developing and improving our machine learning classifiers and infrastructure working towards our goal of building a system that models the true state of a patient from their medical records. You will work on state of the art infrastructure built for the healthcare space and have access to real medical records to build capabilities that have real impact in the healthcare ecosystem.
You will be a significant hands on contributor on a team that is solving hard but interesting problems with tremendous real-world impact.
Daily responsibilities include:
Design, coding, testing and monitoring of new classifiers in production environments that drive our analytical and SaaS product platforms
Maintain our data assets
Perform large-scale data analysis
Work closely with other groups like product, engineering and customer operations to acquire requirements and develop new systems that solve their problems
Skills & Requirements:
Must Haves
Strong working knowledge of a variety of machine learning and analytical techniques and understanding of how and where they are applicable.
Software engineering programing skills with coding experience using Java/Scala or Python, in addition to machine learning and data mining libraries.
Experience working with high performance computing in distributed and parallel systems, e.g. Hadoop, Tez & Spark
Strong mathematical and statistical background, with thorough understanding of probability
Experience in data science and machine learning with a degree in Computer Science, Mathematics or another empirical science
Commercial experience building and deploying scalable software solutions that employ machine learning algorithms in production environments
Self-starter, comfortable juggling multiple projects, strong communication skills
Nice to Haves
Experience with NLP techniques and tools a plus.
Have developed production data science solutions in healthcare, ad tech or web search
Prior experience building recommendation systems and/or natural language processing solutions
Healthcare Domain expertise
",https://www.linkedin.com/jobs/view/633111690/
JOB24791073292,Junior Data Scientist,Junior Data Scientist,,,"Job Duties: Job Family Summary Data Science incorporates techniques across many disciplines including mathematics/statistics, computer programming, data engineering and ETL, software development, and high performance computing with traditional business expertise with the goal of extracting meaning from data to optimize future business decisions. Individuals in this field should be an expert/fluent in several of these disciplines and sufficiently proficient in others to effectively design, build, and deliver end to end predictive analytics products to optimize future decisions. Individual should demonstrate sufficient analytic agility to quickly develop new skills across these disciplines as those disciplines evolve. This position resides within the D3: Data, Discovery & Decision Science department. D3 leverages data & analytics to help the enterprise understand the best course of action to deliver on our corporate priorities, improve our business processes to gain operational...
",https://www.google.com/search?q=allstate+junior+data+scientist&oq=allstate+junior&aqs=chrome.1.69i57j0j69i60j69i61j69i60j0.3300j0j4&sourceid=chrome&ie=UTF-8&ibp=htl;jobs
JOB26252745691,Data Scientist,Data Scientist,,,"Job summary
We are seeking an exceptional individual to join our Data Science team at Roche Innovation Center New York. In this position, you will apply your expertise in machine learning and big data analytics to generate new insights to help accelerate our drug development and bring new medicines to patients. You will drive innovation and make direct impact in drug development projects in New York and across Roche global sites. You will mine the massive amount of patient data beyond the traditional clinical observations, e.g, in the forms of electronic patient records, DNA/RNA sequences, and wearable sensor signals collected in the labs, clinical trials, and the public domain. If you are a self-motivated individual with strong quantitative skills, a passion to serve customers, and an excellent capacity to communicate and lead in a multi-disciplinary environment, we look forward to receiving your application.
Responsibilities:
• Partner with clinical and discovery research scientists to identify and address data analysis needs in drug project teams in all major disease areas.
• Identify relevant data sources, apply a variety of tools and methods to prepare data, develop algorithms and predictive models, perform data analysis, interpret results, create visualization and reports to convey and present findings and/or recommendations.
• Identify novel biomarkers (molecular/digital) that predict drug response or patient prognosis using RWD (Real World Data), RNA-seq, exome-seq and other clinical data.
• Mine massive amounts of RWD and genomic data and extract useful insights. Explore and identify analytics opportunities by collecting new data or mining existing data, with a thorough understanding of the scientific and business context of these analytics techniques
• Lead or contribute to informatics/analytics projects requiring deployment of analytics models in a larger technology platform
• Contribute to the overall team effectiveness by creating and disseminating new analytics framework, methodology and practices.
• Actively contribute to the development of new capabilities in advanced analytics methods in global Data Science networks.
Requirements
• Ph.D. in data-related sciences such as Computational Biology, Bioinformatics, Data Science, Statistics, Applied Mathematics, Computer Science, Engineering and Physics.
• Strong quantitative analytical skills, e.g., in machine learning, statistics, and predictive modeling.
• Experience managing data-driven research from project inception to stakeholder communication.
• Ability to develop scientific software and analysis tools in one or more of programming languages, e.g., Python, R, Matlab, Java, and SQL.
• Experience in analysis of large scale genomic data such as whole genome/exome sequencing, RNA-seq.
• Proven track record in developing new algorithms, predictive models that resulted in scientific recognition or business impact.
• Scientific domain knowledge (e.g., Oncology, Immunology and Neuroscience) and business acumen.
• Big data experience (e.g., Hadoop/Spark, NoSQL).
• Excellent communication and presentation skills.
• Experience in biopharmaceutical industry and understanding of the drug discovery and development process is a plus.
• Experience in analysis of Real World Data (RWD) such as Electronic Health Records (EHRs), social media, and insurance claims is a plus.
Roche is an equal opportunity employer
Who we are:
At Roche, 94,000 people across 100 countries are pushing back the frontiers of healthcare. Working together, we’ve become one of the world’s leading research-focused healthcare groups. Our success is built on innovation, curiosity and diversity.
Roche is an equal opportunity employer and strictly prohibits unlawful discrimination based upon an individual’s race, color, religion, gender, sexual orientation, gender identity/expression, national origin/ancestry, age, mental/physical disability, medical condition, marital status, veteran status, or any other characteristic protected by law.
Favorite
",http://www.nature.com/naturejobs/science/jobs/658435-data-scientist
JOB26819533787,Postdoctoral fellow in Bioinformatics / Computational Biologist / Biomedical Data Scientist,Postdoctoral fellow in Bioinformatics / Computational Biologist / Biomedical Data Scientist,,,"The University of Eastern Finland, UEF, is one of the largest multidisciplinary universities in Finland. We offer education in nearly one hundred major subjects, and are home to approximately 15,000 students and 2,500 members of staff. We operate on two campuses, in Joensuu and Kuopio. In international rankings, we are ranked among the leading universities in the world.
The Faculty of Health Sciences operates at the Kuopio Campus of the University of Eastern Finland. The Faculty offers education in medicine, dentistry, nutrition and pharmacy, as well as in some other central fields of the health care sector. The Faculty is research-intensive, and its internationally recognized research activities are closely linked to the strategic research areas of the University. There are approximately 2 500 degree students and about 450 PhD students in the Faculty. The faculty has 680 staff members. http://www.uef.fi/en/ttdk/etusivu
The Cardiovascular Genomics Research Group at the Faculty of Health Sciences, A.I. Virtanen Institute for Molecular Sciences, Kuopio is offering a Postdoctoral Position in Computational Integration of Genetics and Genomics Data (Bioinformatics).
Description of the position
We are looking for an enthusiastic, talented and passionate postdoctoral fellow or bioinformatics scientist with a PhD in, bioinformatics or computational/systems biology. This is an excellent opportunity for candidates who wish to develop a career in biological data science with access to rare multi-omics datasets and well-characterized longitudinal cohorts with a wealth of biological and clinical data.
The project funded by the European Research Council Starting Grant “EnDeCAD” and led by associate professor Minna Kaikkonen-Määttä is focused on studying the genetic basis of coronary artery disease (CAD). The research aims to understand the effects of single nucleotide polymorphisms located at the regulatory elements (enhancers) of CAD-associated genes in different cell types and how this contributes to disease process. The project involves data integration from a wide-array of genomics data sets generated in-house (GRO-Seq, RNA-Seq, scRNA-Seq, Hi-C, ChIP-Seq) to obtain a more complete picture of the gene regulatory events driving disease progression. In addition, deep phenotypic data for cardiovascular risk factors, gene expression and metabolomics from patient cohorts is analyzed for biomarker identification and risk stratification. The responsibilities of the postdoctoral researcher include computational analysis related to the project and supervision of PhD students. The research milieu consists of researchers with background in molecular medicine, genomics, genetics, biotechnology, bioinformatics and extensive international collaboration networks (candidate will engage in research visits).
The person to be appointed to the Postdoctoral Researcher Position is required to hold a doctoral degree and demonstrate a track record of productivity and innovation. The applicant should have a background in computational sciences, bioinformatics or systems biology, hold strong analytical and problem solving skills, basic knowledge of genomics and ability to work independently in a multi-disciplinary team. Proficiency in English is required. Prior programming experience and proficiency in genomics data analysis should be detailed in the cover letter.
More information on the research group can be found here: https://www.uef.fi/en/web/aivi/group-leader-minna-kaikkonen-maatta
Other qualification requirements/ prerequisites
The position is offered initially as a fixed-term appointment for one year (1.1.2019-31.12.2019) with the possibility of further extension following a successful evaluation. A probationary period of six months is applied.
The salary of the position is determined in accordance with the salary system of Finnish universities and is based on level 5 of the job requirement level chart for teaching and research staff (€2,894/ month). In addition to the job requirement component, the salary includes a personal performance component, which may be a maximum of 46.3% of the job requirement component. The average starting salary of a postdoc is €3,400/month.
For further information on the position, please contact: Associate Professor Minna Kaikkonen-Määttä. minna.kaikkonen@uef.fi. For further information on the application procedure, please contact HR Secretary Asta Suhonen, tel. +358403552000, asta.suhonen@uef.fi
The electronic application should contain the following appendices:
· a résumé or CV (http://www.tenk.fi/en/template-researchers-curriculum-vitae)
· a list of publications (http://www.aka.fi/en/funding/how-to-apply/appendices-required/guidelines-for-list-of-publications/)
· copies of the applicant’s academic degree certificates/ diplomas, and copies of certificates / diplomas relating to the applicant’s language proficiency, if not indicated in the academic degree certificates/diplomas
The application needs to be submitted by 17.12.2018 (by 24.00 hours Finnish time) by using the electronic application form.
Favorite
",http://www.nature.com/naturejobs/science/jobs/664791-postdoctoral-fellow-in-bioinformatics-computational-biologist-biomedical-data-scientist
