id,name,requirements,tasks,summary,pageUrl
JOB40342168900,"Results for ""Devops Engineer Jobs in Austin, Texas Metropolitan Area""",,,,https://www.linkedin.com/jobs/devops-engineer-jobs-austin-texas-metropolitan-area
JOB89255058381,DevOps Engineer,,,"
About the team/job
We are seeking to recruit an enthusiastic, highly motivated DevOps engineer to w...",http://www.nature.com/naturejobs/science/jobs/681723-devops-engineer
JOB218983144406,Senior DevOps Engineer (FIRE),,"Front-end development and experience with design/implementation/delivery of microservices.,An understanding of object storage systems and http load balancers is also desirable, together with practical experience using SQL databases and message queues.,Had previous exposure to ELK stack or other log analysis solutions.,Familiarity with the difference between virtual and physical performance behaviours and some of the reasons behind them.,Working experience with Fibre Channel, multipath or scsi devices, with tape libraries or within a SAN.,Worked with HPC, batch systems, cluster management or an environment with a high degree of automation.,Experience with ORM frameworks, log shipping and presentation, performance monitoring and trend visualization.,Familiarity with agile development practices and the full software development lifecycle in a team environment.,Experience writing and supporting scientific workflows and pipelines; perhaps also including those using bioinformatics tools","European Molecular Biology Laboratory (EMBL)
Hinxton, Cambridge, United Kingdom
About the team/job
W...",https://www.nature.com/naturecareers/job/senior-devops-engineer-fire-european-molecular-biology-laboratory-embl-697943
JOB6434400372,DevOps Engineer / System Administrator (m/f/d),Regular team events and BBQs,"Resource planning, setup and administration of internal hardware,Automation, monitoring and maintenance of internal hardware and services like Jira, LDAP, Jenkins, Gitlab, OpenNebula, etc.,Technical support for onboarding of new employees,Installation, backup, configuration, operation and monitoring of Linux systems,Managing of CI/CD and support developer teams using python, docker and ansible,Automation of the deployment of the CeleraOne software stack,Automated monitoring, alerting for the CeleraOne software stack,Troubleshooting,Several years experience with production systems running Linux,Experience with common internet protocols,Strong knowledge of configuring nginx / haproxy,Experience with automation and/or configuration management tools like Ansible, Salt, Puppet or Chef,Experience with installation and usage of monitoring tools (elastic stack, Icinga/Nagios, Ganglia),Good command of English (fluent in written and spoken),Visa & relocation support,A professional and friendly international team,Full transparency of the company's strategy,Modern technology stack,Central location in Berlin,Flexible working hours,High-level training and language classes,Sponsoring public transport ticket,Free coffee, fruits, soft drinks, beer, etc.","
Job description
WHERE TECH MAKES THE NEWS
We are CeleraOne: A team of highly motivated software dev...",https://stackoverflow.com/jobs/147533/devops-engineer-m-f-celeraone-gmbh
JOB8468195433,DevOps Engineer,Grow with Neufund. Let’s practice mindfulness and learn together over our team workshops.,"Work collaboratively with software engineering to deploy and operate our systems.,Automate and streamline our operations and processes.,Introduce new solutions and optimize the current environment.,Follow new trends on the market and implement where needed.,Design and upgrade our infrastructure.,Build and maintain tools for deployment, monitoring, and operations.,Troubleshoot and resolve issues in our dev, test and production environments.,Experience with automation tools like Docker, Jenkins, Ansible, Kubernetes.,Experience with managing Linux systems, VMware, Databases (i.e. Postgresql),Experience with monitoring (i.e. Zabbix), backup solutions and log aggregations tools (i.e. Graylog, Sentry).,Experience with Cloud solutions.,Eagerness to work on the forefront of blockchain and open source.,Expertise in at least one language domain, preferably more.,At least 5 years experience as a DevOps engineer.,Ability to work in an agile energetic startup environment.,Competitive compensation. We want professionals with real experience.,Share Success. Through our Employee Stock Option Plan, all Neufunders become shareholders in the company.,Flexible Working. Work from home on a Friday, or choose to take the day off and make it up over the weekend.,Healthy Food. Team lunch once a week, breakfast buffet, snacks, and beverages all week long.,Team Offsites. Meditation workshops, team building, and educational presentations. We grow together during offsites in a beautiful location.,Sports Card. Access hundreds of sports venues in Berlin and across Germany with membership to Urban Sports Club.,Career Coaching. Develop your career path with a professional career coach on the side.,Holiday Season. No matter what your plans for the winter holiday season, our shop is closed between December and January.,Relocation Support. We sponsor visas and offer relocation support. We will help you to get to Berlin and get settled.","
Job description
Position overview
Your task at Neufund will be to run and support our whole infrast...",https://stackoverflow.com/jobs/295577/devops-engineer-neufund
JOB10167183473,DevOps Engineer,"Strong background in Linux Administration.,Strong experience with AWS.,Strong problem solving skills.,Experience with automation/configuration management using Chef, Puppet or equivalent.,Ability to use a wide variety of open source technologies and cloud services.,Experience with SQL or MySQL.,Experience with MongoDB or Redis.,A working understanding of PHP and Node.JS.(Python and Ruby a plus),Familiarity with version control systems, Git preferred.,Knowledge of best practices and IT operations in an always-up, always available service,Audio/Video Streaming experience a plus.,Bachelor’s Degree preferred, or 3 years related experience, or equivalent combination of education and experience.",,"
Job description
Futuri is seeking a DevOps Specialist to be based out of their Cleveland, Ohio offi...",https://stackoverflow.com/jobs/197360/devops-engineer-futuri-media
JOB10169861825,IoT DevOps Engineer,,"Maintaining and troubleshooting a nationwide fleet of IoT devices, including a software deployment pipeline for those devices,Providing requirements to software developers for building a monitoring and management platform,Supporting installers as they provision and configure IoT devices,Providing quick resolutions to device issues in the field,Strong understanding of computer networking and the Linux operating system,Experience with physical infrastructure deployments,Understanding of AWS cloud services,Ability to build code pipelines using Jenkins, Github, etc,Proficiency with programming languages like Javascript and Python,Ability to communicate clearly with engineers about complex technical requirements,3+ years of experience managing Linux environments,3+ years of experience with network design and implementation,1+ years of experience with IoT device management,Experience connecting devices and applications to cloud infrastructure (preferably AWS),Experience with agile Software Development and modern DevOps practices",If this is your first time applying you will need to create a candidate account when you click on ap...,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Czno0-YjsSdnp8i6-pk2KeJSEdwRjH1AAXcWDXZkS91FZ-gCZUI0Rog9xJqU0VABxeefl_JVQm1kBOdpkxVNt-nizJjEnOmMafCg9UFRJrBz6wWkXVrRe5P6y-OHnboy4rW4i8FJ0KAn_kCoW-ofxLXyuGbbmZaOxO2ZfT8UBP0EYz1q_9uASjE2TMgacVntnzzjTX76rnpYmsNihiH7xZmvhMaxI6TiahhodE9I1S18JqUPbwfaAdprD6VvftjhBWyfphqrBkE2bffs2NNmYf8NCywOIsvlD9gNwfTCs0Z142zqFjbS9CD8xB8zi8hTmPKS6hhc9C_um5O33veR3dpqE5JSDGZhgEUarTtV72D8Ws3XHt0zL8WuIJ31zDfnL4Y8NQ33pNDp3bsNEn5CKgraSVFzrUgCCdFfntFTUI6CQD80XcFSvX7wxLIUI_TgYszjLQzb_efBfmbZNZx2AIi34P7-nG3Yu21U0hyTaX7g6Pd8kYyglVKGjRSFtJL-5jmNJhnocaeQoBiWYgQywS&vjs=3&p=3&sk=&fvj=0
JOB10228836428,Senior Test Automation/DevOps Engineer,"Bachelor’s Degree (preferably in Computer Science or related field),2+ years hands-on working in information technology,Understand the concepts of Continuous Delivery, Test Driven development and Test Automation,Hands on experience working with Jenkins, Gradle, Nexus, Git, and SonarQube (at least two years),At least 2 years of experience in API and SOA testing frameworks/tools – like REST Client, Soap UI, Client UFT,Knowledge of the Continuous Delivery pipelines work and have hands-on experience developing test automation, pipelines with shared libraries,Has a deep understanding of Git branching,Must have a working, hands-on knowledge of REST, REST security, and Open API,Knowledge of Java, Groovy, and Spring,Have a familiarity with JavaScript and Python libraries and development environment,Experience with both White Box and Black Box Testing,Have working knowledge of AWS ecosystem and Docker,Must have experience working with Linux/UNIX and write bash scripts.,Experience testing web pages built with Responsive Web Design (cross-browser, cross-platform, tablet and mobile device),Understand the concepts of reactive programming,Excellent verbal communication and documentation skills","Build a best-in-class CI/CD and test automation suite and stay abreast of emerging technologies and testing approaches,Be a thought leader and develop the skillsets of scrum team in creation, reviews of test cases and test automation,Work with Scrum Teams to design and implement a Common CI/CD pipeline and test automation,Work with our infrastructure and security teams to design and implement fully automated development analysis of current manual deployment and testing processes to design automation scope and structure,Champion for acceptance test-driven development (ATDD), automated unit testing (AUT), and behavior-driven development (BDD),Integration of automated test suites with the current build and deployment processes,Maintenance of test automation/deployment to accommodate changes in system design or architecture or environments,Assure quality with the help of automation test tools (Web/UI and APIs),Maintain and Monitor the quality and effectiveness of CI/CD pipeline, automation and testing,Promote a risk-aware culture, ensure efficient and effective risk and compliance management practices by adhering to required standards and processes.,Drive efficiency through regression/automation of UI/Web App and API interfaces with the right tools and framework,Team members are expected to support production and pager rotation, after hours or weekend work is expected occasionally, and we have a flexible schedule to support work-life balance,There is an expectation that this Chicago based person will need to visit Discover's Riverwoods Headquarters1 to 2 of days a week for project related meetings.,Java, Spring, REST API, SOAP,Jenkins, GitHub, Nexus, Chef, Ansible,Horton Works, Spark, Storm, Kafka,Rabbit,PCF, Linux, Cloud Foundry,ReactJS, Drupal, Gulp, Node, JavaScript, WireMock, Nexus,Oracle, AWS/RDS,Cucumber,CI/CD Pipeline Automation using Jenkins,Variety of scripting languages,GitHub","
Job description
Discover is looking for a talented, enthusiastic and proactive individual who will ...",https://stackoverflow.com/jobs/200138/senior-test-automation-devops-engineer-discover
JOB12398078078,DevOps Engineer,"Blue/Green, Red/Black, Canary deployments","Builds, manages, and maintains all Continuous Integration/ Continous Development (CI/CD) and testing tools and resources deployed in the cloud environments in support of the development teams.,Works with the DevOps Cloud Engineer in Europe/Australia to provide worldwide 24/7 support for CI/CD tooling,Continuous Integration/ Continuous Delivery (CI/CD) pipelines,Kubernetes/Docker,Microservices,AWS/Azure/GCP,Istio/Envoy/Service Mesh,Jenkins,Spinnaker/Packer,NOC/SOC deployment","
Job description
We have Big Data. We have Big Clients. We have Big Opportunities.
You have a specia...",https://stackoverflow.com/jobs/207564/devops-engineer-getswift
JOB12505090129,DevOps Engineer,,,"Responsibilities:
ESSENTIAL DUTIES:
? You will be responsible for software build and release managem...",https://www.cc.gatech.edu/job-opportunity/13265/devops-engineer
